left,top,right,bottom,origin_url,width,height
40.9962,3.9952,226.0012,213.9929,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4561_7KLCDQ4ZVNG_1.jpg,227,227
0.0000,0.0000,227.0000,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4562_HY0EHO8QXII_1.jpg,227,227
1.9976,52.0057,218.0108,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4564_5E03VM75WZF_1.jpg,227,227
0.0000,56.0009,227.0000,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4565_Q3UR9H9BANJ_1.jpg,227,227
29.0106,23.9939,220.0084,224.0036,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4566_Z4YRE494UQS_1.jpg,227,227
0.0000,33.0058,227.0000,203.0061,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4567_GXUK11OM25S_1.jpg,227,227
0.0000,81.9924,227.0000,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4568_VVWBCJZDDAZ_1.jpg,227,227
0.0000,75.9996,227.0000,210.9965,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4569_F1O7Z6WQ1TY_1.jpg,227,227
5.9928,38.5673,224.0036,179.5570,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4570_ZE9CUCN0C4O_1.jpg,227,227
0.0000,94.0007,227.0000,210.9965,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4572_0QQPENZTKLH_1.jpg,227,227
7.9904,87.0091,215.9905,221.0072,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4573_GKTQ9B3281L_1.jpg,227,227
0.9988,69.0080,223.0048,218.0108,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4574_CHYFZLH9C7E_1.jpg,227,227
0.0000,60.9949,227.0000,224.0036,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4576_AV0OVI4MASK_1.jpg,227,227
1.9976,45.9902,225.0024,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4578_YWHK04IDZDW_1.jpg,227,227
1.9976,83.9900,226.0012,227.0000,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4580_QIAKBXYZ6GY_1.jpg,227,227
0.0000,68.5540,227.0000,203.5736,https://temp-originalimage.s3.ap-northeast-2.amazonaws.com/hdf5_4581_8RTQ0UTP7CV_1.jpg,227,227
